name,unit,status,error,ric,fields,obs
UST 2Y,yield_pct,ok,,US2YT=RR,MID_YLD_1,79
UST 5Y,yield_pct,ok,,US5YT=RR,MID_YLD_1,82
UST 10Y,yield_pct,ok,,US10YT=RR,MID_YLD_1,83
UST 30Y,yield_pct,ok,,US30YT=RR,MID_YLD_1,88
TIPS real 5Y,yield_pct,ok,,US5YTIP=RR,MID_YLD_1,62
TIPS real 10Y,yield_pct,ok,,US10YTIP=RR,MID_YLD_1,71
TIPS real 30Y,yield_pct,ok,,US30YTIP=RR,MID_YLD_1,74
TU 2Y Treasury Fut,futures_price,ok,,TUc1,TRDPRC_1,168
FV 5Y Treasury Fut,futures_price,ok,,FVc1,TRDPRC_1,169
TY 10Y Treasury Fut,futures_price,ok,,TYc1,TRDPRC_1,177
US 30Y Treasury Fut,futures_price,ok,,USc1,TRDPRC_1,174
DXY,index,ok,,.DXY,TRDPRC_1,172
EURUSD,fx,ok,,EUR=,MID_PRICE,192
USDJPY,fx_jpy,ok,,JPY=,MID_PRICE,192
GBPUSD,fx,ok,,GBP=,MID_PRICE,192
AUDUSD,fx,ok,,AUD=,MID_PRICE,192
USDCNY,fx,ok,,CNY=,MID_PRICE,59
USDCNH,fx,ok,,CNH=,MID_PRICE,192
Brent crude,commodity,ok,,LCOc1,TRDPRC_1,150
WTI crude,commodity,ok,,CLc1,TRDPRC_1,178
Gold,commodity,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [TRDPRC_1])",XAU=,TRDPRC_1,0
Gold,commodity,ok,,XAU=,MID_PRICE,182
Copper,commodity,ok,,HGc1,TRDPRC_1,24
UST 2Y,yield_pct,ok,,US2YT=RR,MID_YLD_1,498
UST 5Y,yield_pct,ok,,US5YT=RR,MID_YLD_1,498
UST 10Y,yield_pct,ok,,US10YT=RR,MID_YLD_1,498
UST 30Y,yield_pct,ok,,US30YT=RR,MID_YLD_1,499
TIPS real 5Y,yield_pct,skip,Sparse daily data: 3 rows for 730-day range,US5YTIP=RR,MID_YLD_1,3
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [YLDTOMAT])",US5YTIP=RR,YLDTOMAT,0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [VALUE])",US5YTIP=RR,VALUE,0
TIPS real 5Y,yield_pct,ok,,US5YTIP=RR,"B_YLD_1,A_YLD_1",501
TIPS real 10Y,yield_pct,skip,Sparse daily data: 3 rows for 730-day range,US10YTIP=RR,MID_YLD_1,3
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [YLDTOMAT])",US10YTIP=RR,YLDTOMAT,0
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [VALUE])",US10YTIP=RR,VALUE,0
TIPS real 10Y,yield_pct,ok,,US10YTIP=RR,"B_YLD_1,A_YLD_1",501
TIPS real 30Y,yield_pct,skip,Sparse daily data: 3 rows for 730-day range,US30YTIP=RR,MID_YLD_1,3
TIPS real 30Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [YLDTOMAT])",US30YTIP=RR,YLDTOMAT,0
TIPS real 30Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [VALUE])",US30YTIP=RR,VALUE,0
TIPS real 30Y,yield_pct,ok,,US30YTIP=RR,"B_YLD_1,A_YLD_1",501
TU 2Y Treasury Fut,futures_price,ok,,TUc1,TRDPRC_1,472
FV 5Y Treasury Fut,futures_price,ok,,FVc1,TRDPRC_1,481
TY 10Y Treasury Fut,futures_price,ok,,TYc1,TRDPRC_1,502
US 30Y Treasury Fut,futures_price,ok,,USc1,TRDPRC_1,500
DXY,index,ok,,.DXY,TRDPRC_1,516
EURUSD,fx,ok,,EUR=,MID_PRICE,521
USDJPY,fx_jpy,ok,,JPY=,MID_PRICE,521
GBPUSD,fx,ok,,GBP=,MID_PRICE,522
AUDUSD,fx,ok,,AUD=,MID_PRICE,521
USDCNY,fx,ok,,CNY=,MID_PRICE,521
USDCNH,fx,ok,,CNH=,MID_PRICE,524
USD/CNY fixing,fixing_fx,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [TRDPRC_1])",CNY=PBOC,TRDPRC_1,0
USD/CNY fixing,fixing_fx,ok,,CNY=PBOC,MID_PRICE,484
Brent crude,commodity,ok,,LCOc1,TRDPRC_1,515
WTI crude,commodity,ok,,CLc1,TRDPRC_1,502
Gold,commodity,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [TRDPRC_1])",XAU=,TRDPRC_1,0
Gold,commodity,ok,,XAU=,MID_PRICE,515
Copper,commodity,ok,,HGc1,TRDPRC_1,494
