name,unit,status,error,fields,obs
UST 2Y,yield_pct,ok,,MID_YLD_1,59
UST 5Y,yield_pct,ok,,MID_YLD_1,62
UST 10Y,yield_pct,ok,,MID_YLD_1,61
UST 30Y,yield_pct,ok,,MID_YLD_1,62
TIPS real 5Y,yield_pct,error,'UniverseContainer' object is not subscriptable,MID_YLD_1,0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [YLDTOMAT]), (TS.Int",YLDTOMAT,0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [B_YLD_1, A_YLD_1]),","B_YLD_1,A_YLD_1",0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [B_YLD_1]), (TS.Intr",B_YLD_1,0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [A_YLD_1]), (TS.Intr",A_YLD_1,0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [ISMA_B_YLD, ISMA_A_","ISMA_B_YLD,ISMA_A_YLD",0
TIPS real 5Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [OPEN_YLD]), (TS.Int",OPEN_YLD,0
TIPS real 5Y,yield_pct,error,No valid data from any field set,,0
TIPS real 10Y,yield_pct,error,'UniverseContainer' object is not subscriptable,MID_YLD_1,0
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [YLDTOMAT]), (TS.Int",YLDTOMAT,0
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [B_YLD_1, A_YLD_1]),","B_YLD_1,A_YLD_1",0
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [B_YLD_1]), (TS.Intr",B_YLD_1,0
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [A_YLD_1]), (TS.Intr",A_YLD_1,0
TIPS real 10Y,yield_pct,error,'UniverseContainer' object is not subscriptable,"ISMA_B_YLD,ISMA_A_YLD",0
TIPS real 10Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [OPEN_YLD]), (TS.Int",OPEN_YLD,0
