Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8380%,-0.0030999999999998806,-0.30999999999998806,bp,-0.31bp,,,3.8483,3.83085,87,10
A. Rates,Nominal UST,UST 5Y,3.9802%,-0.0017499999999999183,-0.17499999999999183,bp,-0.17bp,,,3.9924,3.97145,86,20
A. Rates,Nominal UST,UST 10Y,4.3465%,-0.009999999999999787,-0.9999999999999787,bp,-1.00bp,,,4.3625,4.34055,86,30
A. Rates,Nominal UST,UST 30Y,4.9358%,-0.01699999999999946,-1.699999999999946,bp,-1.70bp,,,4.9559,4.9301,87,40
A. Rates,Curve,UST 2s10s spread,50.84bp,-0.6899999999999906,-0.6899999999999906,bp,-0.69bp,,,51.73999999999994,50.73999999999997,86,60
A. Rates,Curve,UST 5s10s spread,36.63bp,-0.8249999999999886,-0.8249999999999886,bp,-0.82bp,,,37.51000000000002,36.50499999999997,86,70
A. Rates,Curve,UST 5s30s spread,95.56bp,-1.5249999999999488,-1.5249999999999488,bp,-1.52bp,,,97.085,95.56000000000004,86,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3300%,-0.01749999999999985,-1.749999999999985,bp,-1.75bp,,,1.357,1.3255,72,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8905%,-0.020499999999999963,-2.0499999999999963,bp,-2.05bp,,,1.92,1.8905,73,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6790%,-0.02100000000000035,-2.100000000000035,bp,-2.10bp,,,2.7045,2.679,73,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6502%,0.01574999999999971,1.5749999999999709,bp,+1.57bp,,,2.65645,2.6299,72,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4560%,0.010499999999999954,1.0499999999999954,bp,+1.05bp,,,2.4560000000000004,2.439,73,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2568%,0.004000000000000892,0.4000000000000892,bp,+0.40bp,,,2.25795,2.24875,73,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.6562,0.0078125,0.0078125,pts,+0.0078,7.537499057812617e-05,+0.00%,103.671875,103.63671875,110,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.0312,0.015625,0.015625,pts,+0.0156,0.00014465499783017504,+0.00%,108.0625,107.96875,110,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.8750,0.03125,0.03125,pts,+0.0312,0.000281928390188892,+0.00%,110.9375,110.796875,110,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5625,0.1875,0.1875,pts,+0.1875,0.0016538037486218302,+0.00%,113.71875,113.34375,110,240
D. USD & FX,USD,DXY,98.5970,-0.017000000000010118,-0.017000000000010118,pts,-0.0170,-0.00017238931591873484,-0.00%,98.678,98.568,106,310
D. USD & FX,FX,EURUSD,1.1709,-0.000500000000000167,-5.00000000000167,pips,-5.00pips,-0.0004268214605831806,-0.00%,1.17205,1.1706,110,320
D. USD & FX,FX,USDJPY,159.635,0.09000000000000341,9.000000000000341,pips,+9.00pips,0.0005641041712369765,+0.00%,159.675,159.51,110,330
D. USD & FX,FX,GBPUSD,1.3518,0.0006500000000000394,6.500000000000394,pips,+6.50pips,0.00048108948264380093,+0.00%,1.3528,1.35085,110,340
D. USD & FX,FX,AUDUSD,0.7178,-0.00019999999999997797,-1.9999999999997797,pips,-2.00pips,-0.0002785515320333955,-0.00%,0.71895,0.7176,110,350
E. RMB,RMB,USDCNY,6.8374,0.0,0.0,pips,0.00pips,0.0,+0.00%,6.83745,6.83745,4,410
E. RMB,RMB,USDCNH,6.8383,0.00039999999999995595,3.9999999999995595,pips,+4.00pips,5.8497491920027484e-05,+0.00%,6.84085,6.83525,110,420
E. RMB,RMB,CNH-CNY spread,14.5pips,0.0,0.0,pips,0.00pips,,,0.0014500000000001734,0.0014500000000001734,4,440
F. Commodities,Commodities,Brent crude,110.8600,-0.4000000000000057,-0.4000000000000057,pts,-0.4000,-0.003595182455509668,-0.00%,111.5,110.41,94,510
F. Commodities,Commodities,WTI crude,99.3200,-0.5100000000000051,-0.5100000000000051,pts,-0.5100,-0.00510868476409902,-0.01%,100.39,99.03,110,520
F. Commodities,Commodities,Gold,4582.7450,-1.444999999999709,-1.444999999999709,pts,-1.4450,-0.00031521381094581794,-0.00%,4608.435,4580.835,110,530
F. Commodities,Commodities,Copper,5.9225,-0.009999999999999787,-0.009999999999999787,pts,-0.0100,-0.001685630004214039,-0.00%,5.9325,5.9145,14,540
